City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Dropoff Time,Dropoff Lat,Dropoff Lng,Distance (miles),Fare Amount,Fare Currency
Natal,UberX,COMPLETED,2020-10-15 14:36:04 +0000 UTC,2020-10-15 14:42:15 +0000 UTC,-5.7904367,-35.198776,2020-10-15 15:00:29 +0000 UTC,-5.8422111999999995,-35.205807,4.66,13.25,BRL
Natal,UberX,COMPLETED,2020-09-26 14:15:21 +0000 UTC,2020-09-26 14:19:34 +0000 UTC,-5.8495617,-35.20611,2020-09-26 14:23:59 +0000 UTC,-5.8421959999999995,-35.205677,0.99,5.74,BRL
Natal,UberX,COMPLETED,2020-09-20 14:29:06 +0000 UTC,2020-09-20 14:30:05 +0000 UTC,-5.8495483,-35.20608,2020-09-20 14:33:46 +0000 UTC,-5.842218,-35.205624,0.79,5.74,BRL
Natal,UberX,COMPLETED,2020-09-17 20:12:01 +0000 UTC,2020-09-17 20:18:07 +0000 UTC,-5.8495393,-35.20605,2020-09-17 20:21:10 +0000 UTC,-5.8422403,-35.205708,0.78,5.74,BRL
Natal,UberX,COMPLETED,2020-08-15 11:45:03 +0000 UTC,2020-08-15 11:51:20 +0000 UTC,-5.849615,-35.2060567,2020-08-15 11:55:47 +0000 UTC,-5.8422184,-35.2056357,0.79,5.74,BRL
Natal,UberX,COMPLETED,2020-02-22 08:21:52 +0000 UTC,2020-02-22 08:26:32 +0000 UTC,-5.8422248,-35.2056679,2020-02-22 08:38:04 +0000 UTC,-5.8200962,-35.2346581,3.54,14.96,BRL
Natal,UberX,COMPLETED,2020-02-16 14:59:45 +0000 UTC,2020-02-16 15:05:02 +0000 UTC,-5.842156,-35.2057026,2020-02-16 15:08:55 +0000 UTC,-5.8503274,-35.1997728,0.75,5.7,BRL
Natal,UberX,CANCELED,2020-02-16 14:59:03 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-5.8452908,-35.2098872,1970-01-01 00:00:00 +0000 UTC,-5.84525149267058,-35.2097747976268,0.00,0,BRL
Natal,UberX,COMPLETED,2020-02-16 01:02:49 +0000 UTC,2020-02-16 01:07:53 +0000 UTC,-5.77932,-35.20534,2020-02-16 01:11:46 +0000 UTC,-5.7872,-35.20916,0.77,13.8,BRL
Natal,UberX,COMPLETED,2020-01-27 15:08:23 +0000 UTC,2020-01-27 15:13:07 +0000 UTC,-5.8501702,-35.2054237,2020-01-27 15:16:17 +0000 UTC,-5.8421767,-35.2056972,0.83,5.7,BRL
Natal,UberX,COMPLETED,2020-01-20 14:14:50 +0000 UTC,2020-01-20 14:18:42 +0000 UTC,-5.8422104,-35.2056649,2020-01-20 14:33:55 +0000 UTC,-5.7972299,-35.2174099,3.94,13.43,BRL
Natal,UberX,COMPLETED,2020-01-05 01:14:06 +0000 UTC,2020-01-05 01:19:13 +0000 UTC,-5.7679966,-35.2644142,2020-01-05 01:44:48 +0000 UTC,-5.8422443,-35.2056767,8.68,29.38,BRL
Natal,UberX,COMPLETED,2020-01-03 18:52:11 +0000 UTC,2020-01-03 18:57:37 +0000 UTC,-5.8200496,-35.2348881,2020-01-03 19:08:31 +0000 UTC,-5.8422843,-35.2057,3.43,12.87,BRL
